,Words
123,åpent grunnvann
124,åpent hav
125,åpent hus
126,åpent intervall
127,åpent nettverk
128,åpent støvfilter
129,åpent tilstå
130,åpent trinn
131,åpentid
132,åpne
133,åpne døren for
134,åpne glidelåset
135,åpne glidelåset på
136,åpne hyller
137,åpne kork
138,åpne opp
139,åpne øynene
140,åpne på gløtt
141,åpne på nytt
142,åpne seg
143,åpne sitt hjerte
144,åpnehastighet
145,åpneinnretning
146,åpnekraft
147,åpnemoment
148,åpnende
149,åpner for crownkork
150,åpnere og lukkere til dører
151,åpnere og lukkere til gardiner
152,åpnere og lukkere til markiser og persienner
153,åpnere og lukkere til vinduer
154,åpnes
155,åpning
156,åpning for innsetting av lukkeanordning
157,åpning for utstyr
158,åpning i notpose
159,åpning med kork
160,åpning med makt
161,åpning nede på kvinnegamasje
162,åpningsbremse
163,åpningsfaktor
164,åpningsindikator
165,åpningsmetode
166,åpningsmotstand
167,åpningstale
168,åpningstid
169,åpningstiden
170,åpningstider
171,åpningstrykk
172,åpningsvinkel
173,år
174,årbok
175,årbokforfatter
176,årbuk
177,åre
178,årebetennelse
179,åreblad
180,åreforkalkning
181,årehåndtak
182,åreklyke
183,åreknute
184,åreknuter
185,årelang
186,åremålsstilling
187,årene
188,årepresse
189,årer
190,året
191,året mønster
192,årete
193,årets
194,årevinge
195,Årevinger
196,årevis
197,årgang
198,århundre
199,Århus
200,årlig
201,årlig gjennomsnittlig utetemperatur
202,årlig hendelse
203,årlig hovedettersyn
204,årlig rentesats
205,årlig vedlikeholdsplan
206,årring
207,årringbredde
208,årringsbredde
209,årsak
210,årsak for og imot
211,årsak og virkning
212,årsak til klage
213,årsak till klagan
214,årsake
215,årsake kortslutning i
216,årsaks-
217,årsaks-virkningsforhold
218,årsaksanalyse
219,årsaksfaktor
220,årsaksrelasjon
221,årsakssammenheng
222,årsavløp
223,årsberetning
224,årsdag
225,årsgammel
226,årsklasse
227,årskull
228,årsmelding
229,årsmiddel
230,årsmøte
231,årsprøve
232,årsrapport
233,årsresultat per aksje
234,årsskifte
235,årsslutt
236,årssyklus
237,Årstall
238,årstid
239,årstids-
240,årstidsbetinget
241,årstidsfest
242,årsverk
243,årtier
244,årtoll
245,årtusen
246,årvåken
247,årvåkenhet
248,ås
249,åsgårdsrei
250,åssen
251,åsside
252,åsted
253,åstedsbefaring
254,åsyn
255,åte
256,åtsel
257,åtselbille
258,åtseleter
259,åtselfugl
260,åtte
261,åtte hundre
262,åtte personer
263,åttedoble
264,åttekant
265,åttekanthode
266,åttekantmutter
267,åttekantskrue
268,åttende
269,åttendedels engelsk mil
270,åttendedelsnote
271,åttestavelses
272,åttetall
273,åttetallsknop
274,åttetallsstikk
275,Åttetallsystemet
276,åtti
277,åttiåring
278,åger
279,åger-
280,ågerkar
281,ågerkarl
282,ågerpris
283,ågrende
284,ågrer
285,åh
286,åh!
287,åk
288,åker
289,åkerbær
290,åkerbruk
291,åkerhøne
292,åkerjord
293,åkerreine
294,åkersprøyte
295,åkmagnet
296,åkmagnetisering
297,åkspole
298,ål
299,åle seg
300,ålefisker
301,åleglatt
302,ålreit
303,ålunge
304,åmot
305,ånd
306,ånde
307,åndedrag
308,åndedrett
309,åndedretts-
310,åndedretts-verneutstyr
311,åndedrettsbeskyttelse
312,åndedrettsdepresjon
313,åndedrettsmaske
314,åndedrettsstans
315,åndedrettssykdom
316,Åndedrettssystemet
317,åndedrettsterapi
318,åndedrettsvern
319,åndedyrker
320,åndedyrking
321,åndelig
322,åndelig bevegelse
323,åndelig oppvåkning
324,åndelig vekkelse
325,åndelighet
326,åndeløs
327,åndemaning
328,åndenød
329,åndens bolig
330,åndfullhet
331,ånding
332,åndrikhet
333,åndsfattig
334,åndsfellesskap
335,åndsforlatt
336,åndsfraværende
337,åndsfrende
338,åndssløv
339,åndssløvhet
340,åndssvakhet
341,ångstrøm
342,åpen
343,åpen beholder
344,åpen blindnagle
345,åpen bok
346,åpen brenning
347,åpen damp
348,åpen digel
349,åpen dyse
350,åpen flamme
351,åpen flamme forbudt
352,åpen for nye idéer
353,åpen fuge
354,åpen godsvogn
355,åpen kildekode
356,åpen krets
357,åpen mark
358,åpen overflate
359,åpen peis
360,åpen plass
361,åpen porøsitet
362,åpen rørende
363,åpen sekk
364,åpen slette med skog rundt
365,åpen sportsbil
366,åpen sprinkler
367,åpen varebil
368,åpenbar
369,åpenbare
370,åpenbare seg
371,åpenbarende
372,åpenbaring
373,åpenbarlig
374,åpenbart
375,åpenhet
376,åpenhjertig
377,åpenhjertighet
378,åpenlukket
379,åpenlyst
380,åpent
381,åpent grunnvann
382,åpent hav
383,åpent hus
384,åpent intervall
385,åpent nettverk
386,åpent støvfilter
387,åpent tilstå
388,åpent trinn
389,åpentid
390,åpne
391,åpne døren for
392,åpne glidelåset
393,åpne glidelåset på
394,åpne hyller
395,åpne kork
396,åpne opp
397,åpne øynene
398,åpne på gløtt
399,åpne på nytt
400,åpne seg
401,åpne sitt hjerte
402,åpnehastighet
403,åpneinnretning
404,åpnekraft
405,åpnemoment
406,åpnende
407,åpner for crownkork
408,åpnere og lukkere til dører
409,åpnere og lukkere til gardiner
410,åpnere og lukkere til markiser og persienner
411,åpnere og lukkere til vinduer
412,åpnes
413,åpning
414,åpning for innsetting av lukkeanordning
415,åpning for utstyr
416,åpning i notpose
417,åpning med kork
418,åpning med makt
419,åpning nede på kvinnegamasje
420,åpningsbremse
421,åpningsfaktor
422,åpningsindikator
423,åpningsmetode
424,åpningsmotstand
425,åpningstale
426,åpningstid
427,åpningstiden
428,åpningstider
429,åpningstrykk
430,åpningsvinkel
431,år
432,årbok
433,årbokforfatter
434,årbuk
435,åre
436,årebetennelse
437,åreblad
438,åreforkalkning
439,årehåndtak
440,åreklyke
441,åreknute
442,åreknuter
443,årelang
444,åremålsstilling
445,årene
446,årepresse
447,årer
448,året
449,året mønster
450,årete
451,årets
452,årevinge
453,Årevinger
454,årevis
455,årgang
456,århundre
457,Århus
458,årlig
459,årlig gjennomsnittlig utetemperatur
460,årlig hendelse
461,årlig hovedettersyn
462,årlig rentesats
463,årlig vedlikeholdsplan
464,årring
465,årringbredde
466,årringsbredde
467,årsak
468,årsak for og imot
469,årsak og virkning
470,årsak til klage
471,årsak till klagan
472,årsake
473,årsake kortslutning i
474,årsaks-
475,årsaks-virkningsforhold
476,årsaksanalyse
477,årsaksfaktor
478,årsaksrelasjon
479,årsakssammenheng
480,årsavløp
481,årsberetning
482,årsdag
483,årsgammel
484,årsklasse
485,årskull
486,årsmelding
487,årsmiddel
488,årsmøte
489,årsprøve
490,årsrapport
491,årsresultat per aksje
492,årsskifte
493,årsslutt
494,årssyklus
495,Årstall
496,årstid
497,årstids-
498,årstidsbetinget
499,årstidsfest
500,årsverk
501,årtier
502,årtoll
503,årtusen
504,årvåken
505,årvåkenhet
506,ås
507,åsgårdsrei
508,åssen
509,åsside
510,åsted
511,åstedsbefaring
512,åsyn
513,åte
514,åtsel
515,åtselbille
516,åtseleter
517,åtselfugl
518,åtte
519,åtte hundre
520,åtte personer
521,åttedoble
522,åttekant
523,åttekanthode
524,åttekantmutter
525,åttekantskrue
526,åttende
527,åttendedels engelsk mil
528,åttendedelsnote
529,åttestavelses
530,åttetall
531,åttetallsknop
532,åttetallsstikk
533,Åttetallsystemet
534,åtti
535,åttiåring
536,Aarhus
537,AB-retninger
538,AB-slokker
539,abachi
540,abakteriell
541,abakus
542,Abbed
543,abbedi
544,abbedisse
545,abbedkloster
546,abbonement
547,abbonere
548,abbonert
549,abbor
550,abbreviasjon
551,abbreviator
552,abbreviatur
553,abbreviere
554,ABC
555,abc bok
556,abc-bok
557,ABC-pulver
558,abderitt
559,abdikasjon
560,abdisere
561,abdomen
562,abdominal
563,Abel-apparatur
564,abelsk
565,Abelsk gruppe
566,aberrasjon
567,Abessinia
568,abiotisk faktor
569,abiotisk miljø
570,abiotisk nedbryting
571,abkasier
572,Abkhasia
573,abkhasisk
574,ablactate
575,ablasjon
576,ablasjonsmorene
577,ablasjonsområde
578,ablativ
579,ablatograf
580,ABM-utvikling
581,abnorm
582,abnormalt
583,abnormitet
584,abnormt
585,abolisjonisme
586,abolitionist
587,abonnement
588,abonnent
589,abonnere
590,abonnere på
591,aboriginer
592,abort
593,abortere
594,abortfremkallende
595,abortiv
596,abortmotstander
597,abortpille
598,abrakadabra
599,abrasiv
600,abrasjon
601,abrasjonsundersøkelse
602,abrupt
603,abscess
604,abscisse
605,absentere
606,absint
607,absolusjon
608,absolutisme
609,absolutiv
610,absolutt
611,absolutt aktivitet av B
612,absolutt aktivitet av stoff B
613,absolutt flertall
614,absolutt hyppighet
615,absolutt ikke
616,absolutt ingen ting
617,absolutt ingenting
618,absolutt konvergens
619,absolutt laveste
620,absolutt luftfuktighet
621,absolutt lysstyrke
622,absolutt majoritet
623,absolutt maksimumstemperatur
624,absolutt målefeil
625,absolutt mektighet
626,absolutt minimumstemperatur
627,absolutt nødvendig
628,absolutt oppsett
629,absolutt permeabilitet
630,absolutt permittivitet
631,absolutt ruhet
632,absolutt signal
633,absolutt størrelsesklasse
634,absolutt system
635,absolutt terskel
636,absolutt tørr ved
637,absolutt tørrstoffinnhold
638,absolutt trykk
639,absolutt verdi
640,absolutthet
641,absoluttmåling
642,absoluttprobe
643,absoluttsonde
644,absoluttverdi
645,absoluttverdi av vektor
646,absoluttverdi av z
647,absolvere
648,absorbans
649,absorbator
650,absorbent
651,absorberbar
652,absorbere
653,absorberende
654,absorberende bomullsgas
655,absorberende kledning
656,absorberende material
657,absorberende materiale
658,absorberende middel
659,absorberende tak
660,absorberingsevne
661,absorberingsfaktor
662,absorbert
663,absorbert dose
664,absorbert doserate
665,absorbert vann i tilslag
666,absorpsjon
667,absorpsjon av forurensende stoff
668,absorpsjonsapparat
669,absorpsjonsbånd
670,absorpsjonsbeholder
671,absorpsjonsevne
672,absorpsjonsfaktor
673,absorpsjonskoeffisient
674,absorpsjonskoeffisient for en overflate som mottar solstråling
675,absorpsjonskolbe
676,absorpsjonslinje
677,absorpsjonsmiddel
678,absorpsjonsrøntgenspektrometri
679,absorpsjonsrør
680,absorpsjonsspektroskopi
681,absorpsjonsspektrum
682,abstinens
683,abstinenssymptom
684,abstrahere
685,abstraherende
686,abstraksjon
687,abstraksjonist
688,abstrakt
689,abstrakt begrep
690,abstrakt ekspresjonisme
691,abstrakt kunst
692,abstrakt kunstner
693,abstrakt skapning
694,abstrakt tanke
695,abstrakthet
696,abstraktsjonist
697,absurd
698,absurdisme
699,absurditet
700,absurditeter
701,abura
702,abyssal
703,accent
704,Accra
705,acetaldehyd
706,acetat
707,aceton
708,acetonekstraksjon
709,acetonitril
710,acetyl
711,acetylaceton
712,acetylaceton-metode
713,acetylacetonløsning
714,acetylen
715,acetylkolin
716,acetylsalisylsyre
717,aciditet
718,acidos
719,actinium
720,actinoid
721,actinomycet
722,action
723,actionfilm
724,actionspill
725,acylere
726,ad hoc
727,ad hominem-argument
728,ad libitum
729,ad nauseam
730,ad omveier
731,ad tjenestevei
732,ad-
733,Ada
734,Adam
735,Adam og Eva
736,adamseple
737,adapsjonsfrist
738,adapter
739,adapter for fylling fra undersiden
740,adapter for tømming fra undersiden
741,adaptere
742,addenda
743,addendum
744,addere
745,addert
746,addisjon
747,addisjonsreaksjon
748,additiv
749,addukt
750,adekvat
751,adekvat matforsyning
752,adel
753,adelig
754,adelige personer
755,adelskvinna
756,adelskvinne
757,adelsmann
758,adelsstand
759,adelstittel
760,Aden
761,Adenbukta
762,adenin
763,adenitt
764,adenosintrifosfat
765,adept
766,adferd
767,adgang
768,adgang til et sertifiseringssystem
769,adgang til faresone
770,adgangsbrikke
771,adgangsforbud
772,adgangskontroll
773,adgangskort
774,adgangsnivå
775,adgangstegn
776,adhere
777,adherere
778,adhesjon
779,adhesjonsbrudd
780,adhesjonsegenskaper
781,adhesjonsfasthet
782,adhesjonsfasthet ved skjær
783,adhesjonsmiddel
784,adhesjonsprøving
785,adhesjonsstrekkfasthet
786,adiabatisk
787,adiabatisk blanding
788,adipid
789,adipinsyre
790,adjektiv
791,adjektivere
792,adjektivisk
793,adjø
794,adjungere
795,adjungert
796,adjunkt
797,adjutant
798,adjuvans
799,adkomst
800,adkomstdeksel
801,adkomstdokument
802,adkomstvei
803,adle
804,adlig
805,adling
806,adlyde
807,administrasjon
808,administrasjon av brukerpassord
809,administrasjon av brukertilgang
810,administrasjon av informasjonssikkerhet
811,administrasjon av kryptografiske nøkler
812,administrasjon av privilegier
813,administrasjonsansatt
814,administrasjonssenter
815,administrasjonssjef
816,administrativ
817,administrativ grense
818,administrativ instruks
819,administrativ jurisdiksjon
820,administrativ kompetanse
821,administrativ koordinator
822,administrativ korrespondanse
823,administrativ ordre
824,administrativ organisasjon
825,administrativ sanksjon
826,administrativ verdi
827,administrativt distrikt
828,administrativt område
829,administrativt organ
830,administrativt yrke
831,administrativutdanning
832,administrator
833,administratør
834,administrerbar
835,administrere
836,administrerende
837,administrerende direktør
838,administrert sideentreprise
839,adminstrerende sideentreprenør
840,admiral
841,admiralitetet
842,admittans
843,admittansmodul
844,adonis
845,adopsjon
846,adopterbarhet
847,adoptere
848,adoptert
849,adoptiv-
850,adoptivbarn
851,Adrenalin
852,adressant
853,adressat
854,adresse
855,Adresseavisen
856,adressebok
857,adressedatabase
858,adressefortegnelse
859,adressekort
860,adresselapp
861,adresseliste
862,adresserbart punkt
863,adressere
864,adressere om
865,adresseregister
866,adresseringsetikett
867,adressert
868,Adrian
869,Adriaterhavet
870,adskille
871,adskille noen
872,adskillende
873,adskilt
874,adsorbent
875,adsorbere
876,adsorbsjon
877,adsorpsjon
878,adsorpsjonsapparat
879,adsorpsjonsmiddel
880,adspre
881,adspredelse
882,adspredt
883,adstringere
884,adstringerende
885,aduserjern
886,advare
887,advare for
888,advare mot
889,advare om
890,advarende
891,advarsel
892,advarselsmerknad
893,adveksjon
894,adveksjonståke
895,Advent
896,adventskalender
897,adventskrans
898,adverb
899,adverbial
900,adverbiell
901,advers
902,advisere
903,advokado
904,advokat
905,advokatforening
906,advokatstanden
907,Aeneiden
908,aerob
909,aerob bakterie
910,aerob behandling
911,aerob biologisk nedbrytbarhet
912,aerob nedbryting
913,aerob organisme
914,aerob prosess
915,aerob rensing av avløpsvann
916,aerob slambehandling
917,aerob slamstabilisering
918,aerobatikk
919,aerobe forhold
920,aerobics
921,aerobiologi
922,aerobt forhold
923,aerobt kimtall
924,aerobt stabilisert slam
925,aerodrom
926,Aerodynamikk
927,aerodynamisk
928,aerodynamisk formfaktor
929,aerodynamisk støy
930,aerogram
931,aeronaut
932,aeronautikk
933,aeronautisk
934,aerosol
935,aerosolfotometer
936,aerotemper
937,aerotemper med klaffespjeld
938,Afasi
939,affære
940,affeksjon
941,affeksjonsverdi
942,affekt
943,affektasjon
944,affektere
945,affektert
946,affekterthet
947,affidavitt
948,affiks
949,affin
950,affinitet
951,affinitet for en kjemisk reaksjon
952,affirmativ
953,affirmere
954,affisere
955,affissering
956,affix
957,affutasje
958,afghaner
959,Afghanistan
960,afghansk
961,aflatoksin
962,aflatoksin B1
963,aforisme
964,aforistisk
965,afotisk sone
966,Afrika
967,afrikaans
968,afrikandere
969,afrikaner
970,afrikanisere
971,afrikansk
972,afrikansk blyanttre
973,afrikansk celtis
974,afrikansk cordia
975,afrikansk ibenholt
976,afrikansk padouk
977,Afrikas Horn
978,afrodisiakum
979,afromosia
980,aften
981,Aften rød; gjør morgen søt; morgen rød gjør aften bløt.
982,aftenandakt
983,aftenbønn
984,aftengudstjeneste
985,aftenkjole
986,Aftenposten
987,aftenrød
988,aftensang
989,aftenskjær
990,aftenskole
991,aftensmat
992,aga
993,Agamemnon
994,agape
995,agar
996,agar-agar
997,agar-avtrykksmateriale
998,agat
999,agave
1000,agba
1001,age
1002,agenda
1003,agens
1004,agent
1005,agentur
1006,agere
1007,ageusi
1008,agg
1009,agglomerasjon
1010,agglomeratstein
1011,agglutinasjon
1012,agglutinere
1013,aggregat
1014,aggregat for produksjon av varmt tappevann
1015,aggregat for romoppvarming
1016,Aggregattilstand
1017,aggregatutvinning
1018,aggregering
1019,aggresivitet
1020,aggresjon
1021,aggressiv
1022,aggressive masser
1023,aggressiver
1024,aggressivitet
1025,aggressivt
1026,aggressivt miljø
1027,aggressivt vann
1028,aggressor
1029,agitasjon
1030,agitator
1031,agitere
1032,agitere for
1033,agitere imot
1034,agitere mot
1035,agn
1036,agnbøk
1037,agne
1038,agnosi
1039,agnostiker
1040,agnostisisme
1041,agnostisk
1042,agora
1043,agorafobi
1044,agp
1045,agra
1046,agraff
1047,agrammatisk
1048,agrar-
1049,agrarisk
1050,agressiv
1051,agrikultur
1052,agronom
1053,agronomi
1054,agronomisk
1055,agronomisk verdi
1056,agrosystem
1057,agurk
1058,agurktid
1059,ah
1060,aha
1061,Ahriman
1062,aids
1063,aiélé
1064,aiguillette
1065,ainu-språk
1066,aircondition
1067,airedaleterrier
1068,Ajaccio
1069,ajourføre
1070,ajourføring
1071,ajournere
1072,ajournering
1073,ajourprotokoll
1074,AK-liste
1075,AK-mønster
1076,Akaba
1077,Akababukten
1078,akademi
1079,akademi for musikk
1080,akademiet for musikk
1081,akademiker
1082,akademimedlem
1083,akademisk
1084,akademisk administator
1085,akademisk administrator
1086,akademisk år
1087,akademisk bibliotek
1088,akademisk eksamen
1089,akademisk grad
1090,akademisk leksjon
1091,akademisme
1092,akasie
1093,akasie maur
1094,ake
1095,akebakke
1096,akebrett
1097,akeleie
1098,Akersbanene
1099,Akershus
1100,akevitt
1101,akilles
1102,akk
1103,akkadisk
1104,akkar
1105,akke
1106,akkedere
1107,Akkerhaugen
1108,akklamasjon
1109,akklimatisere
1110,akklimatisering
1111,akkommodasjon
1112,akkommodere
1113,akkomodere
1114,akkompagnatør
1115,akkompagnatrise
1116,akkompagnement
1117,akkompagnere
1118,akkord
1119,akkordarbeid
1120,akkordere
1121,akkort
1122,akkreditere
1123,akkreditering
1124,akkrediteringsbetingelser
1125,akkrediteringsorgan
1126,akkrediteringssystem
1127,akkreditert
1128,akkreditert laboratorium
1129,akkreditert organ
1130,akkreditiv
1131,akkumulasjon
1132,akkumulasjon over terskelnivå på 40 ppb
1133,akkumulasjonsområde
1134,akkumulator
1135,akkumulere
1136,akkumulerende transportør
1137,akkumuleres
1138,akkumulering i kroppsvev
1139,akkumulering i miljøet
1140,akkumulert prosentsats
1141,akkumulert stråledose
1142,akkurat
1143,akkurat der
1144,akkurat her
1145,akkurat herfra
1146,akkurat som
1147,Akkusativ
1148,akkvirere
1149,akkvisisjon
1150,akkvisisjonsavdeling
1151,akkvisisjonsnummer
1152,akne
1153,ako
1154,akolytt
1155,akossika
1156,akrobat
1157,akrobatikk
1158,akrobatisk
1159,akrobatkunst
1160,akrofobi
1161,akrolein
1162,akroleininnhold
1163,akromatisk
1164,akromegali
1165,akronym
1166,Akropolis
1167,akrostikon
1168,akryl
1169,akryl-
1170,akrylamid
1171,akrylamidmonomer
1172,akrylfarge
1173,akrylfiber
1174,akrylmaling
1175,akrylnitril
1176,akrylnitril-butadien-styren
1177,akrylnitril-styren-akrylat
1178,akrylnitrilkopolymer
1179,akrylplate
1180,akrylpolymer
1181,akrylsaltsyre
1182,akrylsyre
1183,aks
1184,akse
1185,akseavstand
1186,akseavstandskorreksjonsfaktor
1187,aksel
1188,akselavstand
1189,akselbasissystem for pasninger
1190,akselbelastning
1191,akseleffekt
1192,akselerasjon
1193,akselerasjonsamplitude
1194,akselerasjonsspenning
1195,akselerator
1196,akselerere
1197,akselererende
1198,akselererende tilsetningsstoffer
1199,akselerert aldring
1200,akselerert aldringsprøving
1201,akselerert aldringssyklus
1202,akselerert erosjon
1203,akselerert testing
1204,akselerogram
1205,akselerometer
1206,akselfirkant
1207,akselinje
1208,aksellast
1209,aksellerasjon
1210,aksellerasjonsdetektor
1211,aksellerasjonspedal
1212,aksellerere
1213,aksellerert
1214,aksellerert oksidasjonsprøving
1215,akselmontert hjul
1216,akselsystem
1217,akseltapp
1218,akseltetningssystem
1219,akseltetting
1220,akseltrykk
1221,aksens lengde
1222,aksent
1223,aksentmerke
1224,aksenttegn
1225,aksentuere
1226,aksentuering
1227,aksentuert
1228,aksepetere
1229,aksept
1230,akseptabel
1231,akseptabel risiko
1232,akseptabelhet
1233,akseptabelt
1234,akseptabelt daglig inntak
1235,akseptabelt kvalitetsnivå
1236,akseptabelt risikonivå
1237,akseptabelt sikkerhetsnivå
1238,akseptabilitet
1239,akseptant
1240,aksepterbarhet
1241,akseptere
1242,aksepterende
1243,akseptering
1244,akseptert fremgangsmåte
1245,akseptiv
1246,akseptkrav
1247,akseptkriterier
1248,akseptkriterier for risiko
1249,akseptkriterium
1250,akseptnivå
1251,akseptor
1252,akseptortetthet
1253,akseptprøving
1254,akseretninger for vibrasjoner
1255,aksesjon
1256,aksesjonering
1257,aksesjonskatalog
1258,aksesjonsnummer
1259,aksesjonsprotokoll
1260,aksesjontilvekst
1261,aksess
1262,aksesskode
1263,aksesskontroll
1264,aksesskontroll i nettverk
1265,aksessorisk
1266,aksesstid
1267,aksevinkel
1268,aksial bøyetrykkspenning
1269,aksial diametral pitch
1270,aksial normalspenning
1271,aksial pressing
1272,aksial trykknormalspenning
1273,aksialbelastning
1274,aksialdeling
1275,aksialføring
1276,aksialhullmutter
1277,aksialkompensator
1278,aksialkontraksjon
1279,aksialkraft
1280,aksialkraft i sperre
1281,aksialkrefter
1282,aksiallagerskive
1283,aksialmodul
1284,aksialprofil
1285,aksialpumpe
1286,aksialspenning
1287,aksialstrekk
1288,aksialstrekkfasthet
1289,aksialt belastede spikerforbindelser
1290,aksialvifte
1291,Aksiom
1292,aksiomatisk
1293,aksje
1294,aksjeeier
1295,aksjefond
1296,aksjeindeks
1297,aksjekapital
1298,aksjemarked
1299,aksjemegler
1300,aksjeportefølje
1301,aksjer
1302,Aksjeselskap
1303,aksjon
1304,aksjonær
1305,aksjonere
1306,aksjonsbånd
1307,aksjonsgruppe
1308,aksjonsnivå
1309,aksjonsradius
1310,aksle
1311,aksler
1312,aksling
1313,Akson
1314,aksonometrisk fremstilling
1315,aksplukker
1316,aksplukking
1317,aksskytning
1318,akt
1319,akte
1320,akte seg
1321,akte seg for
1322,aktelse
1323,aktelsesfull
1324,akter
1325,akter over
1326,akter ut
1327,akterdekk
1328,akterende
1329,akterover
1330,akterspeil
1331,akterstavn
1332,Akterstavnen
1333,Aktinoider
1334,aktiv
1335,aktiv deltakelse
1336,aktiv effekt
1337,aktiv energi
1338,aktiv enhet
1339,aktiv gruppe
1340,aktiv kjøling
1341,aktiv matrise
1342,aktiv posisjon
1343,aktiv prøvetaking
1344,aktiv satellitt
1345,aktiv slamsimulering
1346,aktiva
1347,aktivere
1348,aktivere konto
1349,aktivere salget
1350,aktivering
1351,aktiveringsanalyse
1352,aktiveringsbasseng
1353,aktiveringsenergi
1354,aktiveringsinnretning
1355,aktivert bentonitt
1356,aktivert karbon i pulverform
1357,aktivert kull i granulat
1358,aktivert kull i pulverform
1359,aktivert silika
1360,aktivert slam
1361,aktivert slamanlegg
1362,aktivert slamprosess
1363,aktivgassbuesveising med smeltende elektrode
1364,aktiviser
1365,aktivisere
1366,aktivisering
1367,aktivist
1368,aktivitet
1369,aktivitet av alkalisk fosfatase
1370,aktivitet av løsningsmiddel A
1371,aktivitet av løst stoff B
1372,aktivitet knyttet til samsvarsvurdering utført av andrepart
1373,aktivitet knyttet til samsvarsvurdering utført av førstepart
1374,aktivitet knyttet til samsvarsvurdering utført av tredjepart
1375,aktivitetsbegrensing
1376,aktivitetsdata for klimagass
1377,aktivitetsindeks
1378,aktivitetskoeffisient for løst stoff B
1379,aktivitetskoeffisient for stoff B i en flytende eller fast blanding
1380,aktivitetsleketøy
1381,aktivitetsområde
1382,aktivitetsplan
1383,aktivitetssenter
1384,aktivitetsteppe
1385,aktivitetstetthet
1386,aktivkarbon-metode
1387,aktivkull
1388,aktivkullbehandling
1389,aktivkullfilter
1390,aktivslam
1391,aktivslamanlegg
1392,aktivslambehandling
1393,aktivslammetode
1394,aktivt
1395,aktivt arkiv
1396,aktivt dørblad
1397,aktivt dren
1398,aktivt innhold
1399,aktivt insektangrep
1400,aktivt instrument
1401,aktivt kretselement
1402,aktivt nordlys
1403,aktivt silika
1404,aktivt stoff
1405,aktivum
1406,aktor
1407,aktør
1408,aktpågivende
1409,aktpågivenhet
1410,aktsom
1411,aktsomhet
1412,aktsomhetshandlinger
1413,aktstykke
1414,aktualisere
1415,aktuar
1416,aktuarie
1417,aktuarie-
1418,aktuator
1419,aktuell
1420,aktuell bruddgrensetilstand
1421,aktuell myndighet
1422,aktuelt frekvensområde
1423,aktuelt teknisk nivå
1424,aktuelt tema
1425,aktverdig
1426,aktverdighet
1427,akupunktør
1428,akupunktur
1429,Akureyri
1430,akustikk
1431,akustisk
1432,akustisk advarsel
1433,akustisk alarmorgan
1434,akustisk bølgeimpedans
1435,akustisk egenskap
1436,akustisk emisjonsprøving
1437,akustisk filter
1438,akustisk hjelm
1439,akustisk impedans
1440,akustisk kalibrator
1441,akustisk klasse
1442,akustisk komfort
1443,akustisk kopler
1444,akustisk kopling
1445,akustisk kvalitet
1446,akustisk måling
1447,akustisk nivå
1448,akustisk partikkelakselerasjon
1449,akustisk partikkelforskyvning
1450,akustisk partikkelhastighet
1451,akustisk skjerm
1452,akustisk størrelse
1453,akustisk svekking
